2025-12-26 00:00:00 INFO  [task-8] u.q.service.sheet.SheetServiceImpl - Fetching data from sheet range: data!A:B
2025-12-26 00:00:02 INFO  [task-8] u.q.service.sheet.SheetServiceImpl - Header updated successfully: Data inserted date 26.12.2025 time 00:00:02
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  💾 Sheets data size 258 
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  ➕ 1 Item added to list for AI: HP OmniStudio X 32"|Intel Core Ultra7 155H|DDR5 32GB|1TB SSD|31,5inch 4K UHD IPS|RTX 4050 6GB|WIN 11HOME
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  ➕ 2 Item added to list for AI: HP Pavilion 32|Intel Core i7-13700T|DDR4 16GB|1TB SSD M.2 Nvme|31.5 QHD 2K|NVIDIA GeForce RTX 3050 4GB|Win 11H|Black (6J6L2AV)
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  ➕ 3 Item added to list for AI: HP EliteOne 870 G9|Intel Core i7-14700T|DDR5 16GB 4800Mhz Sodimm|SSD 1TB M.2 NVMe|27" QHD IPS|TOUCH SCREEN (C21HPPT)
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  ➕ 4 Item added to list for AI: HP EliteOne 870 G9|Intel Core i7-14700T|DDR5 16GB 4800Mhz Sodimm|SSD 1TB M.2 NVMe|27" FHD IPS| NON TOUCH (C21HQPT)
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  ➕ 5 Item added to list for AI: HP Pavilion 27-ca2008ny|Intel Core i7-13700T|DDR4 16GB|512GB SSD M2 Nvme|Nvidia RTX 3050 4GB|27" FHD IPS|Free Dos|White (9R7C5EA)
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  ➕ 6 Item added to list for AI: HP Pavilion 27-ca2023ny|Intel Core i7-13700T|DDR4 16GB|512GB SSD SSD M.2 Nvme|NVIDIA RTX 3050 4GB|27" QHD Touchscreen|Snowflake White (8G4J1EA)
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  ➕ 7 Item added to list for AI: HP Pavilion 27|Intel Core i7-10700T|DDR4 16GB|256GB SSD SSD M.2 Nvme|1TB HDD|NVIDIA GeForce MX 350 4GB|27" FHD IPS Touch|White (3UR11AA)
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  ➕ 8 Item added to list for AI: HP ProOne 440 G9|Intel Core i5-12500T|DDR4 16GB|256GB SSD M2 Nvme|24" FHD IPS|Black|С регулируемой по высоте и по кругу подставкой (564F8AV)
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  ➕ 9 Item added to list for AI: HP 27-cr0034ny/Intel Core i7-1355U/DDR4 16GB/512GB SSD/White (AE0A4EA)
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  ➕ 10 Item added to list for AI: HP 27-cr0067ny|Intel Core i7-1355U|DDR4 16GB|512GB SSD M.2 Nvme|Intel Iris X Graphics|27" FHD IPS|Shell White|Free DOS
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  ➕ 11 Item added to list for AI: HP 27-CR0008ci|Intel Core i5-1335U|DDR4 16GB|512GB SSD M.2 Nvme|27" FHD IPS|Shell White|Free DOS
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  ➕ 12 Item added to list for AI: HP 27-CD1004NH|Intel Core i7-1255U|DDR4 16GB|1TB SSDM.2 Nvme|27" FHD IPS TOUCH|White (6M828EA)
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  ➕ 13 Item added to list for AI: HP 27-CB1010NY|Intel Core i7-1255U|DDR4 8GB|512GB SSD M.2 Nvme|27" FHD IPS TOUCH|White (6P141EA)
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  ➕ 14 Item added to list for AI: HP 27-CB1010NY|Intel Core i7-1255U|DDR4 8GB|512GB SSD M.2 Nvme|27" FHD IPS NON TOUCH|White (6P141EA)
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  ➕ 15 Item added to list for AI: HP 27-DP1079NY|Intel Core i5-1135G7|DDR4 4GB|1TB HDD|27" FHD IPS TOUCH|Silver(4X5E3EA)
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  ➕ 16 Item added to list for AI: HP 24-CR0032NY|Intel Core i5-1335U|DDR4 8GB|512GB SSD M.2 Nvme|24" FHD IPS|White
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  ➕ 17 Item added to list for AI: HP 24-CB1013nh|Intel Core i7-1255U|DDR4 8GB|512GB SSD M.2 Nvme| 24" FHD IPS|White (6M805EA)
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  ➕ 18 Item added to list for AI: HP 24-1026|Intel Core i5-1235U|DDR4 8GB|512GB SSD M.2 Nvme|24"FHD IPS|Black (6V340EA)
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  ➕ 19 Item added to list for AI: HP 24-DF1059NY|Intel Core i5-1135G7|DDR4 4GB|1TB HDD|24"FHD IPS Touch|White (4X5F2EA)
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  ➕ 20 Item added to list for AI: HP 24-DF1059NY|Intel Core i5-1135G7|DDR4 4GB|256GB HDD|24"FHD IPS Touch|White (4X5F2EA)
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  ➕ 21 Item added to list for AI: HP 24-CB1445NH|Intel Core i3-1215U|DDR4 8GB|512GB SSD M.2 Nvme|24" FHD IPS|White (929F2EA)
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  ➕ 22 Item added to list for AI: HP 24-CB1274NH|Intel Core i3-1215U|DDR4 4GB|256GB SSD M.2 Nvme|24"FHD IPS|Black (7H375EA)
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  ➕ 23 Item added to list for AI: HP 24-CB1288NH|Intel Core i3-1215U|DDR4 8GB|512GB SSD M.2 Nvme|24"FHD IPS (B73TXEA)
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  ➕ 24 Item added to list for AI: Lenovo IdeaCentre AIO 27IRH9/Intel Core i7-13620H|16GB DDR5|512GB SSD M.2 Nvme|27" FHD IPS|Cloud Grey
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  ➕ 25 Item added to list for AI: Lenovo Ideacentre AIO 27IRH9|Intel Core i5-13420H|8GB DDR5|512GB SSD M.2 Nvme|27"FHD IPS|Luna Grey
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  ➕ 26 Item added to list for AI: Lenovo Ideacentre AIO 27IRH9|Intel Core i5-13420H|8GB DDR5|512GB SSD M.2 Nvme|27"FHD IPS|Luna  Grey|NON TOUCH|Win11H
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  ➕ 27 Item added to list for AI: Lenovo Ideacentre AIO 27AAR9|AMD Ryzen5-8645HS|16GB DDR5|1TB SSD M.2 Nvme|27"FHD IPS|Luna Grey|TOUCH| Win11H
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  ➕ 28 Item added to list for AI: Acer Veriton Z4714G 23.8"FullHD non-touch IPS|Intel core i3-13100|8 GB DDR4|512 GB M.2 NVME SSD|ESHE
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  ➕ 29 Item added to list for AI: Acer Veriton Z4714G 23.8"FullHD non-touch IPS|Intel Core i5-13400|8 GB DDR4|512 GB M.2 NVME SSD|ESHE
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  ➕ 30 Item added to list for AI: HP Spectre x360 14-eu0013dx/Intel Core Ultra 7-155H/RAM 16GB/1TB SSD/14'' 2.8K OLED/Black/Win11H (979L2UA)
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  ➕ 31 Item added to list for AI: Hp OmniBook Ultra Flip 14-fh0033dx/Intel Core Ultra 9-288V/32GB DDR5/2TB SSD/14.0" 3K UWVA OLED (400 nits, 48-120Hz, VRR)
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  ➕ 32 Item added to list for AI: Hp OmniBook 5 Flip 14-fp0023dx/Intel Core 7-150U/RAM 16GB/512GB SSD/14.0" 2K IPS LED / Touchscreen
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  ➕ 33 Item added to list for AI: Hp OmniBook 5 Flip 14-fp0013dx/Intel Core 5-120U/RAM 8GB/512GB SSD/14.0" 2K IPS LED / Touchscreen
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  ➕ 34 Item added to list for AI: HP Envy x360 14-es1013dx/Intel Core 5-120U/RAM 8GB/512GB SSD/14"FHD IPS LED/Silver/Win11H(9R8R2UA)
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  ➕ 35 Item added to list for AI: HP EliteBook 840 G10/Intel Core i7-1355U/16GB DDR5/512GB SSD/14" WUXGA IPS/Silver (8A414EA)
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  ➕ 36 Item added to list for AI: HP ProBook 440 14 inch G11/Intel Core Ultra 5 125U/16 GB DDR5/512GB SSD/WUXGA/Pike silver (A22ZLEA)
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  ➕ 37 Item added to list for AI: HP ProBook 460 16 inch G11/Intel Core Ultra 7 155U/8 GB DDR5/512GB SSD/WUXGA/Pike silver (A23A1EA)
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  ➕ 38 Item added to list for AI: HP ProBook 460 16 inch G11/Intel Core Ultra 5 125U/8 GB DDR5/512GB SSD/WUXGA/Pike silver (B9ZF2ET)
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  ➕ 39 Item added to list for AI: HP ProBook 450 15.6 inch G10|Intel Core i5-1335U|8GB DDR4|512GB SSD|UHD IPS|Silver Color Backlit
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  ➕ 40 Item added to list for AI: HP Victus 15-fa2317tx/Intel core i7-13620H/DDR4 16 GB/512 SSD/ 15.6 FHD IPS 144HZ/ NVIDIA GeForce RTX 4050 6GB Blue
2025-12-26 00:00:02 INFO  [task-8] u.q.s.GoogleSheetDataUpdates -  ➕ 41 Item added to list for AI: HP Victus 15-fa2318tx/Intel core i7-13620H/DDR4 16 GB/512 SSD/ 15.6 FHD IPS 144HZ/ NVIDIA GeForce RTX 3050 6GB Black
